9 9 10
3 73400
CLOSED 0 false
CLOSED 1 false
FLAGGED 1 true
FLAGGED 1 true
OPENED 1 false
OPENED 0 false
OPENED 1 false
OPENED 1 false
OPENED 1 false
CLOSED 1 false
CLOSED 2 false
OPENED 3 false
OPENED 2 false
OPENED 1 false
OPENED 0 false
OPENED 1 false
FLAGGED 0 true
OPENED 1 false
CLOSED 1 false
CLOSED 0 true
OPENED 1 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 1 false
OPENED 1 false
OPENED 1 false
CLOSED 1 false
CLOSED 1 false
OPENED 1 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
CLOSED 1 false
CLOSED 1 false
OPENED 1 false
OPENED 0 false
OPENED 1 false
OPENED 1 false
OPENED 2 false
OPENED 1 false
OPENED 1 false
CLOSED 2 false
CLOSED 1 true
OPENED 3 false
OPENED 1 false
OPENED 2 false
FLAGGED 0 true
OPENED 2 false
FLAGGED 0 true
OPENED 1 false
CLOSED 2 false
FLAGGED 2 true
OPENED 4 false
FLAGGED 1 true
OPENED 2 false
OPENED 1 false
OPENED 2 false
OPENED 1 false
OPENED 1 false
CLOSED 1 false
CLOSED 2 false
CLOSED 2 true
OPENED 2 false
OPENED 1 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
CLOSED 0 false
CLOSED 1 false
CLOSED 1 false
OPENED 1 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
OPENED 0 false
